Transaction Set ID,Transaction Set Control Number,Transaction Handling Code,Report Start Date,Report End Date,Purchase Order,Entity Identifier Code,Name,Identification Code Qualifier,Identification Code,Assigned Identification,Product/Service ID Qualifier1,Product/Service ID1,Product/Service ID Qualifier2,Product/Service ID2,Product/Service ID Qualifier3,Product/Service ID3,Status,Activity Code,Quantity,UOM,Number of Included Segments
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1572106,N4,73380471509,UI,37338047159,A,OQ,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1572106,N4,73380471509,UI,37338047159,A,OQ,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1572106,N4,73380471509,UI,37338047159,A,OQ,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1572106,N4,73380471509,UI,37338047159,A,OQ,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1572106,N4,73380471509,UI,37338047159,A,OQ,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1572106,N4,73380471509,UI,37338047159,A,OQ,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1572106,N4,73380471509,UI,37338047159,A,QM,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1572106,N4,73380471509,UI,37338047159,A,QL,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1572106,N4,73380471509,UI,37338047159,A,Q1,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1572106,N4,73380471509,UI,37338047159,A,QT,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1572106,N4,73380471509,UI,37338047159,A,TS,0,EA,146
